,depth,depth,depth,depth,depth,depth,depth,depth,spread,spread,spread,spread,spread,spread,spread,spread
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Stock,,,,,,,,,,,,,,,,
GSK.L,38273.0,993.7706869072192,756.6606567178842,7.0,508.0,779.5,1207.5,33749.5,38273.0,3.153527977429699,1.136132337696931,1.3053978199859375,2.703433360366745,2.81610813855156,4.140501000622017,39.320320179749395
RIO.L,38278.0,382.3796959088772,270.9403599413171,3.5,200.0,314.5,492.0,6477.5,38278.0,3.369203501623455,1.1739507478143334,1.0009509033581903,3.1660598385309484,3.3557046979865772,3.7821482602118004,52.90581162324649
WPP.L,38136.0,1380.3353524229076,1019.604167445067,2.5,704.5,1093.0,1768.0,11928.5,38136.0,5.662860120621331,2.4124721281914683,2.0002000200024552,4.230118443316173,4.862630683199611,6.485785320506138,39.61267605633828
